item_id,merchant_id,item_name,category,selling_price,food_cost,contribution_margin,is_active,created_at
I0001,M045,Gulab Jamun,Desserts,204,51,153,1,2023-08-01 06:48:50
I0002,M037,Spring Rolls,Chinese,194,66,128,1,2022-08-16 18:14:03
I0003,M023,Palak Paneer,Indian Main Course,357,122,235,1,2024-08-16 08:17:38
I0004,M032,Idli Sambar,South Indian,62,18,44,1,2022-08-21 14:32:34
I0005,M009,Coke,Beverages,82,14,68,1,2023-01-12 21:36:17
I0006,M030,Cold Coffee,Beverages,31,4,27,1,2024-05-28 05:34:20
I0007,M032,Spring Rolls,Chinese,340,87,253,1,2022-04-08 03:45:57
I0008,M042,Gulab Jamun,Desserts,85,18,67,0,2024-11-08 20:11:38
I0009,M029,Chicken 65,Snacks,64,19,45,1,2022-02-23 07:17:02
I0010,M047,Masala Chai,Beverages,90,15,75,1,2024-04-22 16:58:45
I0011,M034,Chicken Biryani,Biryani,413,122,291,1,2022-01-17 12:59:47
I0012,M023,Medu Vada,South Indian,174,40,134,1,2024-10-09 03:27:23
I0013,M021,Veg Biryani,Biryani,265,72,193,1,2024-02-22 23:35:59
I0014,M035,Mango Lassi,Beverages,115,28,87,1,2024-05-11 04:10:26
I0015,M023,Mango Lassi,Beverages,35,8,27,1,2022-10-10 04:10:06
I0016,M020,Medu Vada,South Indian,81,16,65,0,2024-09-26 06:52:56
I0017,M032,Margherita Pizza,Pizza,379,145,234,1,2023-03-15 07:06:22
I0018,M032,Veggie Burger,Burger,280,130,150,1,2022-12-01 12:51:38
I0019,M029,Pepperoni Pizza,Pizza,361,157,204,1,2024-02-07 09:41:40
I0020,M005,Filter Coffee,Beverages,78,13,65,1,2024-07-15 15:49:19
I0021,M005,Mutton Biryani,Biryani,457,124,333,1,2023-05-08 14:08:58
I0022,M041,Veggie Burger,Burger,131,64,67,1,2022-12-21 15:49:39
I0023,M039,Samosa,Snacks,87,22,65,1,2025-01-30 16:39:35
I0024,M048,Idli Sambar,South Indian,80,23,57,1,2023-06-13 06:40:07
