item_id,merchant_id,item_name,category,selling_price,food_cost,contribution_margin,is_active,created_at
I0001,M0042,Margherita,Pizza,299,120,179,1,2019-03-15 14:30:00
I0002,M0015,Farmhouse - Large,Pizza,449,200,249,1,2020-05-12 18:22:10
I0003,M0088,Paneer Tikka,Pizza,349,150,199,1,2021-11-05 12:10:05
I0004,M0003,Cheese Burst (Special),Pizza,479,220,259,1,2019-08-22 19:45:00
I0005,M0091,Peri Peri Veg,Pizza,399,180,219,1,2022-01-10 11:15:30
I0006,M0027,Veg Supreme,Pizza,419,190,229,1,2020-09-09 13:05:45
I0007,M0064,Chicken Supreme,Pizza,449,210,239,1,2023-04-18 20:30:00
I0008,M0012,Tandoori Paneer,Pizza,379,170,209,1,2019-12-01 16:50:20
I0009,M0075,Double Cheese - Small,Pizza,299,130,169,1,2021-02-14 14:14:14
I0010,M0033,Mexican Green,Pizza,359,160,199,1,2022-07-25 17:40:55
I0011,M0055,BBQ Chicken,Pizza,429,200,229,1,2020-10-30 19:20:10
I0012,M0099,Spicy Veg,Pizza,329,145,184,1,2023-08-11 12:25:35
I0013,M0008,Mushroom - Large,Pizza,399,175,224,1,2019-06-05 15:55:00
I0014,M0048,Onion Capsicum,Pizza,299,115,184,0,2021-03-20 18:10:25
I0015,M0071,Corn Cheese,Pizza,349,155,194,1,2024-01-08 14:45:50
I0016,M0022,Paneer Supreme,Pizza,449,205,244,1,2020-11-18 21:05:30
I0017,M0084,Chicken Tikka (Special),Pizza,479,230,249,1,2022-09-12 13:35:40
I0018,M0019,Cheese Overload,Pizza,419,195,224,1,2019-04-28 16:15:15
I0019,M0060,Mexican Fiesta,Pizza,379,165,214,1,2023-12-02 19:50:00
I0020,M0038,Spinach Corn,Pizza,329,140,189,1,2021-05-17 11:20:45
I0021,M0011,Classic Veg Burger,Burger,129,55,74,1,2019-07-10 10:15:00
I0022,M0054,Aloo Tikki Burger,Burger,149,60,89,1,2020-02-22 14:45:30
I0023,M0082,Paneer Burger,Burger,179,80,99,1,2021-08-05 18:20:15
I0024,M0029,Chicken Burger - Combo,Burger,249,110,139,1,2022-11-11 12:30:45
I0025,M0076,Double Patty Burger,Burger,219,100,119,1,2019-09-18 19:10:20
I0026,M0044,Cheese Burger,Burger,159,70,89,1,2023-03-04 16:55:50
I0027,M0093,Spicy Chicken Burger,Burger,199,90,109,1,2020-06-28 13:40:35
I0028,M0017,Grilled Veg Burger,Burger,169,75,94,1,2024-02-14 20:05:10
I0029,M0061,Peri Peri Burger,Burger,189,85,104,1,2021-10-09 11:25:00
I0030,M0035,BBQ Chicken Burger,Burger,229,105,124,1,2019-05-30 15:15:40
I0031,M0089,Mexican Burger,Burger,179,80,99,1,2022-04-12 17:50:25
I0032,M0005,Maharaja Burger (Special),Burger,249,115,134,1,2020-12-01 14:10:55
I0033,M0050,Paneer Deluxe Burger,Burger,199,90,109,1,2023-07-22 19:35:15
I0034,M0078,Classic Chicken Burger,Burger,169,75,94,0,2021-01-18 12:45:30
I0035,M0024,Crispy Veg Burger,Burger,149,65,84,1,2019-08-08 16:20:05
I0036,M0097,Loaded Chicken Burger,Burger,229,110,119,1,2024-05-05 21:10:40
I0037,M0014,Paneer Crunch Burger,Burger,189,85,104,1,2020-03-15 13:55:20
I0038,M0068,Tandoori Chicken Burger,Burger,219,100,119,1,2022-10-29 18:40:50
I0039,M0041,Spicy Paneer Burger,Burger,179,80,99,1,2021-06-07 15:05:10
I0040,M0032,Double Cheese Burger,Burger,199,90,109,1,2019-11-20 11:30:25
I0041,M0085,Chicken Biryani,Biryani,299,130,169,1,2020-04-10 14:15:00
I0042,M0021,Hyderabadi Biryani,Biryani,349,150,199,1,2021-09-25 19:20:30
I0043,M0059,Mutton Biryani,Biryani,399,180,219,1,2022-12-08 12:40:15
I0044,M0010,Paneer Biryani,Biryani,269,110,159,1,2019-02-14 17:55:50
I0045,M0073,Veg Biryani,Biryani,229,90,139,1,2023-05-30 20:10:20
I0046,M0096,Chicken Dum Biryani,Biryani,319,140,179,1,2020-08-18 13:25:45
I0047,M0037,Special Biryani,Biryani,369,160,209,1,2024-01-22 16:50:10
I0048,M0049,Egg Biryani,Biryani,249,100,149,1,2021-03-05 11:05:35
I0049,M0002,Paneer Dum Biryani,Biryani,299,120,179,1,2019-10-12 18:35:00
I0050,M0065,Family Biryani Pack,Biryani,699,310,389,1,2022-06-20 14:45:25
I0051,M0081,Chicken 65 Biryani,Biryani,329,145,184,1,2020-11-02 19:15:55
I0052,M0026,Andhra Chicken Biryani,Biryani,349,155,194,1,2023-09-15 12:50:40
I0053,M0052,Malabar Biryani,Biryani,369,165,204,1,2019-07-28 15:20:15
I0054,M0094,Paneer Tikka Biryani,Biryani,319,135,184,1,2021-12-10 21:00:30
I0055,M0018,Kolkata Biryani,Biryani,329,140,189,1,2024-03-08 13:10:50
I0056,M0070,Mughlai Biryani,Biryani,399,175,224,1,2020-01-25 18:40:05
I0057,M0043,Hyderabadi Veg Biryani,Biryani,269,115,154,1,2022-08-04 11:55:20
I0058,M0007,Keema Biryani,Biryani,369,160,209,0,2019-05-18 16:30:45
I0059,M0087,Chicken Family Biryani,Biryani,599,260,339,1,2023-02-14 20:15:10
I0060,M0031,Special Dum Biryani,Biryani,349,150,199,1,2021-07-09 14:05:35
I0061,M0057,Paneer Butter Masala,Indian Main Course,279,120,159,1,2019-11-30 19:45:00
I0062,M0013,Butter Chicken,Indian Main Course,329,145,184,1,2020-09-12 12:20:15
I0063,M0098,Dal Makhani,Indian Main Course,239,100,139,1,2022-04-25 17:50:50
I0064,M0040,Shahi Paneer,Indian Main Course,289,125,164,1,2021-01-08 11:35:25
I0065,M0066,Chicken Curry,Indian Main Course,299,130,169,1,2023-10-14 16:10:40
I0066,M0004,Kadai Paneer,Indian Main Course,259,110,149,1,2019-06-22 20:40:05
I0067,M0079,Palak Paneer,Indian Main Course,249,105,144,1,2024-02-05 13:15:30
I0068,M0025,Malai Kofta,Indian Main Course,279,115,164,1,2020-07-19 18:55:10
I0069,M0051,Rajma Masala,Indian Main Course,199,85,114,1,2022-11-02 14:25:45
I0070,M0092,Chole Masala,Indian Main Course,219,90,129,1,2021-05-16 19:10:20
I0071,M0016,Bhindi Fry,Indian Main Course,199,80,119,1,2019-08-28 11:40:55
I0072,M0069,Aloo Gobi,Indian Main Course,219,95,124,1,2023-03-10 16:05:35
I0073,M0036,Matar Paneer,Indian Main Course,259,110,149,1,2020-12-14 21:20:15
I0074,M0083,Fish Curry,Indian Main Course,349,155,194,1,2022-09-07 12:50:00
I0075,M0009,Prawn Masala,Indian Main Course,349,160,189,0,2021-02-18 17:35:40
I0076,M0058,Korma,Indian Main Course,309,135,174,1,2019-04-05 15:15:25
I0077,M0100,Rogan Josh,Indian Main Course,329,145,184,1,2024-06-22 19:45:10
I0078,M0028,Saag Chicken,Indian Main Course,299,130,169,1,2020-10-11 14:10:50
I0079,M0072,Kadhai Gosht,Indian Main Course,349,150,199,1,2023-01-30 18:25:35
I0080,M0047,Dum Chicken,Indian Main Course,309,135,174,1,2021-07-24 11:55:20
I0081,M0006,Veg Hakka Noodles,Chinese,189,75,114,1,2019-09-15 16:30:05
I0082,M0063,Chicken Hakka Noodles,Chinese,229,95,134,1,2022-05-10 20:15:45
I0083,M0034,Schezwan Noodles,Chinese,199,80,119,1,2020-11-28 13:40:10
I0084,M0086,Fried Rice,Chinese,179,70,109,1,2024-04-02 18:50:30
I0085,M0020,Schezwan Fried Rice,Chinese,199,85,114,1,2021-08-14 12:05:55
