inventory_id,merchant_id,ingredient_name,stock_quantity,unit,cost_per_unit,reorder_level,last_updated
INV0001,M0001,Tomatoes,14,kg,56,2,14-10-2024 07:14
INV0002,M0001,Rice,73,kg,65,18,17-08-2024 21:27
INV0003,M0001,Salt,31,kg,23,9,22-03-2024 15:23
INV0004,M0001,Paneer,37,kg,394,5,21-06-2024 03:43
INV0005,M0001,Pizza Base,43,pcs,16,17,09-03-2025 12:31
INV0006,M0001,Onions,62,kg,48,16,01-10-2024 04:32
INV0007,M0001,Tea Leaves,97,kg,366,17,28-02-2025 22:53
INV0008,M0001,Milk,64,ltr,62,17,26-12-2024 02:31
INV0009,M0001,Eggs,31,pcs,7,12,10-02-2024 08:28
INV0010,M0001,Burger Buns,45,pcs,6,17,21-11-2024 13:16
INV0011,M0001,Flour,20,kg,50,4,25-12-2024 23:35
INV0012,M0001,Mixed Spices,12,grams,2,3,05-05-2024 05:56
INV0013,M0001,Cheese,49,kg,485,8,18-12-2024 20:16
INV0014,M0001,Coffee Beans,26,kg,707,4,29-01-2024 08:20
INV0015,M0001,Potatoes,83,kg,25,22,03-02-2024 07:40
INV0016,M0002,Milk,90,ltr,54,16,11-03-2024 18:33
INV0017,M0002,Cheese,52,kg,472,13,19-03-2024 22:50
INV0018,M0002,Garlic,20,kg,122,5,16-07-2024 13:53
INV0019,M0002,Potatoes,62,kg,21,12,10-10-2024 00:25
INV0020,M0002,Butter,70,kg,577,9,19-01-2025 09:42
INV0021,M0002,Chicken,20,kg,283,5,08-01-2024 17:34
INV0022,M0002,Rice,21,kg,42,6,28-07-2024 17:23
INV0023,M0002,Onions,35,kg,19,11,03-05-2024 14:02
INV0024,M0002,Burger Buns,21,pcs,9,18,10-03-2025 04:35
INV0025,M0002,Eggs,86,pcs,5,13,24-09-2024 18:03
INV0026,M0003,Eggs,60,pcs,7,18,11-10-2024 12:44
INV0027,M0003,Chicken,91,kg,219,23,09-12-2024 19:40
INV0028,M0003,Tomatoes,19,kg,26,4,20-01-2025 01:21
INV0029,M0003,Tea Leaves,32,kg,463,7,18-04-2024 10:48
INV0030,M0003,Mixed Spices,45,grams,2,11,24-04-2024 16:32
INV0031,M0003,Potatoes,44,kg,17,5,01-05-2024 22:58
INV0032,M0003,Butter,34,kg,528,5,08-01-2025 09:45
INV0033,M0003,Onions,53,kg,38,8,18-06-2024 18:14
INV0034,M0003,Cooking Oil,61,ltr,156,16,14-02-2025 02:27
INV0035,M0003,Garlic,33,kg,86,7,01-03-2025 10:20
